enrollee_id,prediction_probability,predicted_class,percentile_rank,priority_tier
22527,0.8715,1,100.0,High Priority
32795,0.8628,1,99.95,High Priority
26694,0.8561,1,99.91,High Priority
31758,0.8482,1,99.86,High Priority
4377,0.8462,1,99.81,High Priority
3432,0.8458,1,99.77,High Priority
462,0.8402,1,99.72,High Priority
21308,0.8358,1,99.67,High Priority
7626,0.8329,1,99.62,High Priority
7266,0.8304,1,99.58,High Priority
5391,0.8272,1,99.53,High Priority
12189,0.825,1,99.48,High Priority
23986,0.8205,1,99.44,High Priority
10523,0.8175,1,99.39,High Priority
18752,0.8175,1,99.34,High Priority
30221,0.8174,1,99.3,High Priority
30365,0.8108,1,99.25,High Priority
33277,0.8101,1,99.2,High Priority
25155,0.8024,1,99.15,High Priority
32233,0.8013,1,99.11,High Priority
12142,0.801,1,99.06,High Priority
20035,0.7963,1,99.01,High Priority
29326,0.7905,1,98.97,High Priority
13373,0.7901,1,98.92,High Priority
29629,0.7867,1,98.87,High Priority
27297,0.786,1,98.83,High Priority
14035,0.7847,1,98.78,High Priority
25113,0.7845,1,98.73,High Priority
4586,0.7822,1,98.68,High Priority
25914,0.7806,1,98.64,High Priority
18519,0.7801,1,98.59,High Priority
31481,0.7799,1,98.54,High Priority
7679,0.7768,1,98.5,High Priority
1928,0.7767,1,98.45,High Priority
14512,0.7765,1,98.4,High Priority
27067,0.7761,1,98.36,High Priority
2790,0.7749,1,98.31,High Priority
17221,0.7737,1,98.26,High Priority
24158,0.7717,1,98.22,High Priority
842,0.7676,1,98.17,High Priority
27769,0.7665,1,98.12,High Priority
18411,0.765,1,98.07,High Priority
24081,0.7641,1,98.03,High Priority
9752,0.7613,1,97.98,High Priority
20570,0.7588,1,97.93,High Priority
21968,0.7581,1,97.89,High Priority
14428,0.7513,1,97.84,High Priority
29575,0.751,1,97.79,High Priority
26722,0.7472,1,97.75,High Priority
17779,0.7436,1,97.7,High Priority
9487,0.7435,1,97.65,High Priority
7926,0.7395,1,97.6,High Priority
14601,0.7394,1,97.56,High Priority
22698,0.7382,1,97.51,High Priority
10260,0.7375,1,97.46,High Priority
27338,0.7338,1,97.42,High Priority
18344,0.7306,1,97.37,High Priority
7733,0.7303,1,97.32,High Priority
23319,0.7262,1,97.28,High Priority
26180,0.725,1,97.23,High Priority
5171,0.7227,1,97.18,High Priority
19550,0.7214,1,97.13,High Priority
9051,0.7205,1,97.09,High Priority
25408,0.7192,1,97.04,High Priority
5138,0.7129,1,96.99,High Priority
11640,0.7111,1,96.95,High Priority
21166,0.7109,1,96.9,High Priority
27117,0.7106,1,96.85,High Priority
29977,0.7092,1,96.81,High Priority
4398,0.707,1,96.76,High Priority
8112,0.7066,1,96.71,High Priority
8488,0.7064,1,96.67,High Priority
18209,0.7056,1,96.62,High Priority
16673,0.7054,1,96.57,High Priority
23674,0.7018,1,96.52,High Priority
25623,0.6999,1,96.48,High Priority
22520,0.6963,1,96.43,High Priority
30756,0.6942,1,96.38,High Priority
15049,0.6942,1,96.34,High Priority
18271,0.694,1,96.29,High Priority
10446,0.6888,1,96.24,High Priority
22392,0.688,1,96.2,High Priority
19942,0.6875,1,96.15,High Priority
22457,0.6874,1,96.1,High Priority
23663,0.6826,1,96.05,High Priority
15164,0.6808,1,96.01,High Priority
28390,0.6808,1,95.96,High Priority
4450,0.6797,1,95.91,High Priority
9544,0.6781,1,95.87,High Priority
